"year","population","percent_change"
1880,1405146956.87,0.00740154599072027
1881,1415885835.54611,0.00764253064322248
1882,1426990117.0294,0.00784263900698275
1883,1438407781.205,0.0080012216197876
1884,1450086807.95804,0.00811941294092425
1885,1461975177.17366,0.00819838450386151
1886,1474020868.73698,0.00823932700869251
1887,1486171862.53315,0.00824343403399446
1888,1498376138.44728,0.00821188734749325
1889,1510581676.36452,0.00814584375982459
1890,1522736456.17,0.00804642343784414
1891,1534800415.94707,0.00792255267035026
1892,1546781326.57198,0.00780616847664583
1893,1558698917.1192,0.00770476753403266
1894,1570572916.6632,0.00761789170030796
1895,1582423054.27845,0.00754510503111863
1896,1594269059.03943,0.00748599101166374
1897,1606130660.0206,0.00744015002606858
1898,1618027586.29644,0.0074071970431632
1899,1629979566.94142,0.00738675950039408
1900,1642006331.03,0.00737847537018528
1901,1654121857.59461,0.00737848955613557
1902,1666317125.49949,0.00737265386397217
1903,1678577363.56681,0.00735768592886973
1904,1690887800.61876,0.0073338514620462
1905,1703233665.47753,0.00730140985951167
1906,1715600186.96529,0.00726061358368964
1907,1727972593.90424,0.0072117076186792
1908,1740336115.11655,0.00715492899362239
1909,1752675979.42441,0.0070905063686695
1910,1764977415.65,0.00701865967811818
1911,1777238518.0048,0.00694688909108896
1912,1789508842.25743,0.00690415165343299
1913,1801850809.5658,0.00689684622781909
1914,1814326841.08783,0.00692400916646176
1915,1826999357.98143,0.00698469349987886
1916,1839930781.40452,0.00707795728914484
1917,1853183532.515,0.00720285308796818
1918,1866820032.4708,0.00735841848178623
1919,1880902702.42983,0.00754366768841054
1920,1895493963.55,0.00775758421810899
1921,1910646297.27656,0.00799387073656476
1922,1926372426.20409,0.00823079025665254
1923,1942675133.21452,0.00846290508972571
1924,1959557201.18977,0.00869011379546156
1925,1977021413.01175,0.00891232560671492
1926,1995070551.5624,0.00912946032443328
1927,2013707399.72363,0.00934144817416679
1928,2032934740.37735,0.00954822962679031
1929,2052755356.40551,0.00974975518617578
1930,2073172030.69,0.00994598514663978
1931,2094166019.62594,0.0101265059653324
1932,2115632473.66117,0.0102505980108798
1933,2137445016.75671,0.0103101759720067
1934,2159477272.87358,0.0103077533897461
1935,2181602865.9728,0.0102458096582702
1936,2203695420.0154,0.0101267533093141
1937,2225628558.9624,0.00995289038030645
1938,2247275906.77482,0.00972639739243333
1939,2268511087.41368,0.00944929840383284
1940,2289207724.84,0.00912344556795624
1941,2309330449.09369,0.00879025701134139
1942,2329207914.53018,0.00860745825452985
1943,2349259781.58378,0.00860887812054367
1944,2369905710.68879,0.00878826993372961
1945,2391565362.27953,0.0091394571071123
1946,2414658396.79031,0.00965603318855845
1947,2439604474.65543,0.0103311002079157
1948,2466823256.30922,0.0111570469461564
1949,2496734402.18597,0.0121253704740501
1950,2529757572.72,0.0132265452445072
1951,2566211745.56256,0.0144101447647271
1952,2606013167.23267,0.0155097963910925
1953,2648977401.46627,0.0164865760364642
1954,2694920011.99934,0.0173435267917491
1955,2743656562.56783,0.0180846000443358
1956,2795002616.90768,0.0187144612195205
1957,2848773738.75487,0.0192383082298078
1958,2904785491.84535,0.0196617064839131
1959,2962853439.91507,0.0199904427479198
1960,3022793146.7,0.0202303988369546
1961,3084429691.73105,0.0203905930838626
1962,3147626217.719,0.0204888852410449
1963,3212255383.16959,0.0205326684238342
1964,3278189846.58856,0.0205259095414502
1965,3345302266.48166,0.0204724018540112
1966,3413465301.35463,0.0203757476733654
1967,3482551609.71321,0.0202393468980508
1968,3552433850.06313,0.0200663904463085
1969,3622984680.91015,0.019859857727052
1970,3694076760.76,0.0196225173748155
1971,3765623099.90458,0.0193678539397372
1972,3837698115.78039,0.0191402628366165
1973,3910416577.61008,0.0189484580693522
1974,3983893254.61632,0.018789987089086
1975,4058242916.02177,0.0186625636415561
1976,4133580331.04907,0.0185640476891792
1977,4210020268.92089,0.0184924282945816
1978,4287677498.85988,0.0184458090409372
1979,4366666790.08869,0.0184223956325593
1980,4447102911.83,0.018420485374308
1981,4529042117.81631,0.018425300158524
1982,4612306599.81962,0.0183845678263318
1983,4696660034.12177,0.018288774277376
1984,4781866097.00462,0.0181418417053433
1985,4867688464.75002,0.0179474636061338
1986,4953890813.63981,0.0177090932408761
1987,5040236819.95586,0.0174299373087317
1988,5126490159.98,0.0171129538363438
1989,5212414509.9941,0.0167608533972944
1990,5297773546.28,0.0163761028832674
1991,5382373036.09506,0.0159688761846874
1992,5466187110.59865,0.0155719557045788
1993,5549231991.92565,0.0151924695673117
1994,5631523902.21094,0.0148294233157004
1995,5713079063.5894,0.0144818991794463
1996,5793913698.19591,0.0141490488240719
1997,5874044028.16535,0.0138300869055724
1998,5953486275.63259,0.0135242853281869
1999,6032256662.73251,0.0132309681173413
2000,6110371411.6,0.0129495068321749
2001,6187978545.58,0.0127008865341097
2002,6265583019.15,0.0125411671999787
2003,6343188481.49,0.0123859921898423
2004,6420801170.03,0.0122355955158011
2005,6498406893.97,0.0120866106713032
2006,6576003857.82,0.0119409210774418
2007,6653612536.69,0.0118017994739632
2008,6731219910.73,0.0116639455050996
2009,6808826742.98,0.0115293859477522
2010,6886425212.03,0.0113967460150173
2011,6960922939.11,0.0108180550555982
2012,7035416372.3,0.0107016603748705
2013,7109908122.96,0.0105881083248023
2014,7184404346.58,0.0104778039788488
2015,7258903279.79,0.0103695351230424
2016,7333388067.55,0.0102611627251431
2017,7403898293.90855,0.0096149591033578
2018,7469823793.56699,0.00890416062477286
2019,7531736829.10184,0.00828841981362017
2020,7590209663.08961,0.0077635259057161
2021,7645814558.1068,0.00732587075790469
2022,7699123776.72993,0.00697233999307551
2023,7750709581.5355,0.00670021762235908
2024,7801144235.10002,0.00650710145102988
2025,7.851e+09,0.00639082721681538
2026,7900742634.91801,0.00633583427818212
2027,7950411882.96085,0.00628665561428722
2028,7999940983.3414,0.00622975276119983
2029,8049263175.27253,0.00616531947346014
2030,8098311697.9671,0.00609354193378213
2031,8147019790.63799,0.00601459841106267
2032,8195320692.49805,0.00592865895766825
2033,8243147642.76017,0.00583588514185869
2034,8290433880.63721,0.00573642981131945
2035,8337112645.34203,0.00563043688387002
2036,8383117176.08752,0.00551804116155096
2037,8428380712.08653,0.00539936816440111
2038,8472836492.55193,0.0052745339803713
2039,8516417756.6966,0.00514364512793108
2040,8559057743.73341,0.00500679842804524
2041,8600689692.87522,0.00486408088230141
2042,8641246843.3349,0.00471556955406471
2043,8680662434.32532,0.00456133144961864
2044,8718869705.05935,0.00440142339632394
2045,8755801894.74986,0.00423589191487504
2046,8791392242.60972,0.00406477308277134
2047,8825573987.85179,0.00388809238614136
2048,8858280369.68895,0.003705864557045
2049,8889444627.33406,0.00351809339335793
2050,8.919e+09,0.00332477155828812
2051,8946897728.73028,0.00312789872522501
2052,8973161061.89104,0.002935468131755
2053,8997831249.67906,0.00274933076736909
2054,9020949542.29111,0.00256931831355265
2055,9042557189.92399,0.00239527419276435
2056,9062695442.77448,0.00222705285988421
2057,9081405551.03936,0.00206451914698232
2058,9098728764.9154,0.00190754765643789
2059,9114706334.59941,0.0017560221979153
2060,9129379510.28815,0.00160983526512976
2061,9142789542.1784,0.00146888754872625
2062,9154977680.46697,0.00133308748192609
2063,9165985175.35062,0.00120235081589935
2064,9175853277.02613,0.00107660022209655
2065,9184623235.6903,0.000955764919010314
2066,9192336301.5399,0.000839780321051138
2067,9199033724.77172,0.000728587707425064
2068,9204756755.58254,0.000622133909065513
2069,9209546644.16914,0.000520371011835197
2070,9213444640.7283,0.000423256074351271
2071,9216491995.45682,0.000330750858917934
2072,9218729958.55146,0.000242821574167896
2073,9220199780.20902,0.000159438628115264
2074,9220942710.62627,8.05763904212003e-05
2075,9.221e+09,6.21296276633327e-06
2076,9220409298.16086,-6.40604965988538e-05
2077,9219193853.47499,-0.000131821120578593
2078,9217373313.94237,-0.000197472746700899
2079,9214967327.56302,-0.000261027333645599
2080,9211995542.33693,-0.000322495470732971
